0	Paths
1	Samples
2	Nodes
3	Edges
4	N/E ration
5	Graph size [bp]
6	Input genomes size [bp]
7	Compression
8	Node length (average) [bp]
9	Node length (median) [bp]
10	Node length top 5% (median) [bp]
11	Node length top 5% (average [bp]
12	Bin[0-1]
13	Bin[2-50]
14	Bin[51-100]
15	Bin[101-1000]
16	Bin[1001-inf]
17	Similarity mean
18	Similarity median
19	Similarity std
20	Similarity mean (normalized)
21	Similarity median (normalized)
22	Similarity std (normalized)
23	Depth mean
24	Depth median
25	Depth std
26	Depth mean (normalized)
27	Depth median (normalized)
28	Depth std (normalized)
29	Node degree (in)
30	Node degree (out)
31	Node degree (total)
32	Inverted edges
33	Inverted edges (normalized)
34	Negative edges
35	Negative edges (normalized)
36	Self edges
37	Self edges (normalized)
38	Graph density
39	Path Sequence [bp] (average)
40	Path Sequence [bp] (std)
41	Path Nodes (average)
42	Path Nodes (std)
43	Path Unique edges (average)
44	Path Unique edges (std)
45	Path Edges (average)
46	Path Edges (std)
47	Path Unique nodes (average)
48	Path Unique nodes (std)
49	Path Unique nodes [bp] (average)
50	Path Unique nodes [bp] (std)
51	Path Unique nodes (normalized) (average)
52	Path Unique nodes (normalized) (std)
53	Path Unique nodes [bp] (normalized) (average)
54	Path Unique nodes [bp] (normalized) (std)
55	Path Unique edges (normalized) (average)
56	Path Unique edges (normalized) (std)
57	Path Inverted nodes (average)
58	Path Inverted nodes (std)
59	Path Inverted nodes [bp] (average)
60	Path Inverted nodes [bp] (std)
61	Path Inverted nodes (normalized) (average)
62	Path Inverted nodes (normalized) (std)
63	Path Inverted nodes [bp] (normalized) (average)
64	Path Inverted nodes [bp] (normalized) (std)
65	Path Jumps total (average)
66	Path Jumps total (std)
67	Path Jumps_total (normalized) (average)
68	Path Jumps_total (normalized) (std)
69	Path Jumps bigger than X (average)
70	Path Jumps bigger than X (std)
71	Path Jumps bigger than X (normalized) (average)
72	Path Jumps bigger than X (normalized) (std)
73	Path Node size average [bp] (average)
74	Path Node size average [bp] (std)
75	Path Node size median [bp] (average)
76	Path Node size median [bp] (std)
77	Path Node size std [bp] (average)
78	Path Node size std [bp] (std)
79	Path Depth average (average)
80	Path Depth average (std)
81	Path Depth median (average)
82	Path Depth median (std)
83	Path Depth std (average)
84	Path Depth std (std)
85	Path Depth average (normalized) (average)
86	Path Depth average (normalized) (std)
87	Path Depth median (normalized) (average)
88	Path Depth median (normalized) (std)
89	Path Depth std (normalized) (average)
90	Path Depth std (normalized) (std)
91	Path Similarity average (average)
92	Path Similarity average (std)
93	Path Similarity median (average)
94	Path Similarity median (std)
95	Path Similarity std (average)
96	Path Similarity std (std)
97	Path Similarity average (normalized) (average)
98	Path Similarity average (normalized) (std)
99	Path Similarity median (normalized) (average)
100	Path Similarity median (normalized) (std)
101	Path Similarity std (normalized) (average)
102	Path Similarity std (normalized) (std)
103	Path Degree average (average)
104	Path Degree average (std)
105	Path Degree median (average)
106	Path Degree median (std)
107	Path Degree std (average)
108	Path Degree std (std)
